NAME,ABBREVIATION,DESCRIPTION,PARENT,DEPTH,DEPARTMENT
Department of Adult and Juvenile Detention (DAJD),DAJD,"Includes Community Corrections, Seattle, Kent, Administrative Services and Juvenile Facilities.",KCEO - Operations,1,Department of Adult and Juvenile Detention (DAJD)
Department of Assessments (DOA),DOA,"Mission Statement:  We the employees of the Department of Assessments, are fully committed to serving the citizens of King County by providing fair, equitable, and understandable property valuations, forming the basis for funding public services.  Click o",The Electorate of King County,1,Department of Assessments (DOA)
Department of Community and Human Services (DCHS) Director's Office,DCHS,"Mission:  Provide equitable opportunities for people to be healthy, happy, self-reliant and connected to community",KCEO - Operations,1,Department of Community and Human Services (DCHS) Director's Office
Department of Development & Environmental Services - WSU King County Extension,NA,"Washington State University Extension King County promotes lifelong learning, self-sufficiency and a livable environment by providing research-based responsive education to individuals, families and diverse communities.",NA,1,Department of Development & Environmental Services - WSU King County Extension
Department of Elections,NA,"Provides voter registration services for citizens living within King County, and administers all public elections within King County.  Maintains and provides information about election results, historical election data, and voter lists, bothe electronic a",The Electorate of King County,1,Department of Elections
Department of Executive Services (DES),DES,"The Department of Executive Services (DES) provides nearly all internal services to King County government and a variety of public services to its citizens.  The department includes Records and Licensing Services, Human Resource Management, Finance and Business Operations, Facilities Management Division, Office of Emergency Management, Office of Civil Rights, Ethics Office, Office of Risk Management, and Alternative Dispute Resolution.",KCEO - Operations,1,Department of Executive Services (DES)
Department of Information Technology (KCIT),KCIT,The King County Department of Information Technology (KCIT) is the central information technology organization for the government of King County.,KCEO - Operations,1,Department of Information Technology (KCIT)
Department of Judicial Administration (DJA),DJA,"As the Superior Court Clerk''s Office, DJA performs a variety of duties and provides many services for the Court, litigants, and the public. Our office has three locations: the King County Courthouse in downtown Seattle, the Regional Justice Center in Kent, and Youth Services Center in Seattle.",King County Superior Court (KCSC),1,Department of Judicial Administration (DJA)
Department of Natural Resources and Parks (DNRP),DNRP,"DNRP contains the Parks and Recreation, Solid Waste, Wastewater Treatment, and Water and Land Resources Divisions.  It also houses the Historic Preservation Program and Community Service Areas Program.",KCEO - Operations,1,Department of Natural Resources and Parks (DNRP)
Department of Permitting and Environmental Review (DPER),DPER,"The mission of the King County Department of Permitting and Environmental Review (DPER) is:  To serve, educate and protect our community through the implementation of County development and environmental regulations.",KCEO - Operations,1,Department of Permitting and Environmental Review (DPER)
