"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Academy of Interactive Entertainment","305 Harrison St Ste 405, Seattle, Washington 98109-4623","www.theaie.us","2-year, Private not-for-profit","One but less than two years certificate|Two but less than 4 years certificate","City: Large","No","129","129","89%","5%","Fall 2014","$17,371","-","482185","04223600"
"Altierus Career College Everett","906 SE Everett Mall Way, Ste 600, Everett, Washington 98208-3700","https://www.altierus.org/campus/everett","2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","254","254","71%","NA","Fall 2014","$17,670","-","363590","02300100"
"Altierus Career College-Tacoma","2156 Pacific Avenue, Tacoma, Washington 98402-3004","https://www.altierus.org/campus/tacoma","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","383","383","92%","NA","Fall 2014","$19,654","-","444024","02300104"
"Antioch University-Seattle","2326 6th Ave, Seattle, Washington 98121-1814","www.antiochseattle.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","City: Large","No","568","95","0%","NA","Fall 2011","NA","-","245883","00301005"
"Argosy University-Seattle","2601-A Elliott Avenue, Seattle, Washington 98121","www.argosy.edu/seattle","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","59","30","0%","NA","Fall 2011","NA","-","439057","02179913"
"Aveda Institute Portland-Vancouver Campus","6615 North East 4th Plain Boulevard, Vancouver, Washington 98661-7264","avedapdx.com/about-our-school/locations/vancouver","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","129","129","67%","NA","2014-15","$9,558","Cosmetology/Cosmetologist, General","487348","04171401"
"Bastyr University","14500 Juanita Drive NE, Kenmore, Washington 98028-4966","www.bastyr.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","Suburb: Large","Yes","1247","260","NA","NA","Fall 2011","NA","-","235547","02242500"
"Bates Technical College","1101 S Yakima Ave, Tacoma, Washington 98405","www.bates.ctc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","3291","3291","43%","13%","Fall 2014","$3,895","-","235671","00530600"
"Beauty Academy","208 S Wenatchee Ave, Wenatchee, Washington 98801","www.beautyacademywenatchee.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","25","25","50%","6%","2014-15","$13,839","Cosmetology/Cosmetologist, General","234401","02504900"
"Bellevue College","3000 Landerholm Cir SE, Bellevue, Washington 98007-6484","https://bellevuecollege.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","13506","13506","24%","22%","Fall 2011","$7,337","-","234669","00376900"
