NAME,STUDENT_POPULATION,INSTITUTION_TYPE,DEGREE_TYPE,CAMPUS_SETTING_TYPE,CAMPUS_SETTING_SIZE,ADDRESS,CITY,COUNTY,STATE,ZIP_CODE,LNG,LAT
Academy of Interactive Entertainment,129,Private not-for-profit,2-year,City,Large,305 Harrison St #405,Seattle,King,WA,98109,-122.3504333,47.6207455
Altierus Career College Everett,254,Private not-for-profit,2-year,City,Midsize,906 SE Everett Mall Way #600,Everett,Snohomish,WA,98208,-122.2202443,47.9092994
Altierus Career College-Tacoma,383,Private not-for-profit,2-year,City,Midsize,2156 Pacific Ave,Tacoma,Pierce,WA,98402,-122.4362625,47.2411626
Antioch University-Seattle,568,Private not-for-profit,4-year,City,Large,2326 6th Ave,Seattle,King,WA,98121,-122.3427244,47.6173598
Argosy University-Seattle,59,Private for-profit,4-year,City,Large,2601 Elliott Ave,Seattle,King,WA,98121,-122.3532039,47.6145846
Aveda Institute Portland-Vancouver Campus,129,Private for-profit,< 2-year,City,Midsize,6615 NE Fourth Plain Blvd,Vancouver,Clark,WA,98661,-122.6038223,45.643743
Bastyr University,1247,Private not-for-profit,4-year,Suburb,Large,14500 Juanita Dr NE,Kenmore,King,WA,98028,-122.245646,47.7324577
Bates Technical College,3291,Public,2-year,City,Midsize,1101 S Yakima Ave,Tacoma,Pierce,WA,98405,-122.4468013,47.2519664
Beauty Academy,25,Private for-profit,< 2-year,City,Small,208 S Wenatchee Ave,Wenatchee,Chelan,WA,98801,-120.3095591,47.421833
Bellevue College,13506,Public,4-year,City,Midsize,3000 Landerholm Cir SE,Bellevue,King,WA,98007,-122.1475855,47.5870695
Bellingham Technical College,2426,Public,4-year,City,Small,3028 Lindbergh Ave,Bellingham,Whatcom,WA,98225,-122.5124321,48.7658723
Big Bend Community College,2193,Public,2-year,Town,Remote,7662 Chanute St NE,Moses Lake,Grant,WA,98837,-119.3249101,47.184109
BJ's Beauty & Barber College,88,Private for-profit,2-year,City,Midsize,5239 S Tacoma Way,Tacoma,Pierce,WA,98409,-122.4833145,47.2083621
BJ's Beauty & Barber College,25,Private for-profit,2-year,City,Small,435 E Main St,Auburn,King,WA,98002,-122.2233025,47.3082769
Carrington College-Spokane,407,Private for-profit,2-year,City,Small,10102 E Knox Ave #200,Spokane Valley,Spokane,WA,99206,-117.2680638,47.6758822
Cascadia College,3434,Public,4-year,Suburb,Large,18345 Campus Way NE,Bothell,King,WA,98011,-122.1913677,47.7609327
Central Washington University,11971,Public,4-year,Town,Distant,400 E University Way,Ellensburg,Kittitas,WA,98926,-120.5421058,47.000356
Centralia College,3265,Public,4-year,Town,Distant,600 Centralia College Blvd,Centralia,Lewis,WA,98531,-122.9607541,46.7153384
Charter College,2676,Private for-profit,4-year,City,Midsize,17200 SE Mill Plain Blvd #100,Vancouver,Clark,WA,98683,-122.4947557,45.6178325
City University of Seattle,1874,Private not-for-profit,4-year,City,Large,521 Wall St #100,Seattle,King,WA,98121,-122.3444932,47.6174173
Clark College,10318,Public,4-year,City,Midsize,1933 Fort Vancouver Way,Vancouver,Clark,WA,98661,-122.6502812,45.6346831
Clover Park Technical College,3978,Public,4-year,City,Small,4500 Steilacoom Blvd SW,Lakewood,Pierce,WA,98499,-122.4998848,47.1746864
Columbia Basin College,6489,Public,4-year,Suburb,Midsize,2600 N 20th Ave,Pasco,Franklin,WA,99301,-119.123838,46.2520805
Columbia College - Naval Station Everett/Marysville,NA,Private not-for-profit,4-year,Suburb,Midsize,13910 45th Ave NE #802,Marysville,Snohomish,WA,98271,-122.1711657,48.1228926
Columbia College - Whidbey Island,NA,Private not-for-profit,4-year,Town,Distant,1045 Midway St #117,Oak Harbor,Island,WA,98277,-122.6714419,48.337895
Cornish College of the Arts,674,Private not-for-profit,4-year,City,Large,1000 Lenora St,Seattle,King,WA,98121,-122.3360955,47.6181654
Cortiva Institute-Seattle,150,Private for-profit,< 2-year,Suburb,Large,2030 S 314th St,Federal Way,King,WA,98003,-122.307556,47.3211305
