DISTRICT_NAME,DISTRICT_NUMBER,TYPE,STATUS,COUNTY,COUNTIES_INCLUDED,PLACES,DISTRICT_NOTE,CHANGE_NOTE
Aberdeen School District No. 5,5,School,active,Grays Harbor,Grays Harbor,Part Aberdeen,NA,NA
Adams Conservation District,NA,Conservation,active,Adams,Adams,NA,NA,NA
Adams County Cemetery District No. 1,1,Cemetery,active,Adams,Adams,Washtucna,Washtucna,NA
Adams County Cemetery District No. 2 ,2,Cemetery,active,Adams,Adams,Othello,Othello,NA
Adams County Cemetery District No. 3 ,3,Cemetery,active,Adams,Adams,Lind,Lind,Formed in 2003
Adams County Fire Protection District No. 1,1,Fire Protection,active,Adams,"Adams, Lincoln",NA,Ritzville,NA
Adams County Fire Protection District No. 2,2,Fire Protection,active,Adams,Adams,NA,Lind,NA
Adams County Fire Protection District No. 4,4,Fire Protection,active,Adams,Adams,NA,Harder/McCall,NA
Adams County Fire Protection District No. 5,5,Fire Protection,active,Adams,Adams,NA,Othello,NA
Adams County Fire Protection District No. 6,6,Fire Protection,active,Adams,Adams,NA,Benge,NA
Adams County Fire Protection District No. 7,7,Fire Protection,active,Adams,Adams,NA,Washtucna,NA
Adams County Mosquito Control District No. 1,1,Mosquito Control,active,Adams,Adams,"Ritzville, Hatton, Lind, Washtucna",NA,NA
Adams County Parks and Recreation District No. 1,1,Parks,active,Adams,Adams,Othello,NA,NA
Adams County Parks and Recreation District No. 2,2,Parks,active,Adams,Adams,Washtucna,NA,NA
Adams County Parks and Recreation District No. 3,3,Parks,active,Adams,Adams,Lind,NA,NA
Adams County Parks and Recreation District No. 4,4,Parks,active,Adams,Adams,Ritzville,NA,Ritzville Water Park
Adams County Port District No. 1,1,Port,active,Adams,Adams,Othello,NA,NA
Adams County Public Hospital District No. 2,2,Hospital,active,Adams,Adams,"Ritzville, Lind, Washtucna",- East Adams Rural,NA
Adams County Public Hospital District No. 3,3,Hospital,active,Adams,Adams,Hatton. Othello,dba Othello Community Hospital,NA
Adams County Rural Library District No 1,1,Library,active,Adams,Adams,Othello,NA,NA
Adams County Water District No. 1,1,Water,active,Adams,Adams,NA,NA,NA
Adams County Weed Control District No. 1,1,Weed Control,active,Adams,Adams,NA,NA,NA
Adams/Lincoln County Fire Protection District No. 3,3,Fire Protection,active,Lincoln,"Lincoln, Adams",NA,NA,NA
Adams/Lincoln County No 3,3,NA,active,Adams,"Adams, Lincoln",NA,NA,Formerly Adams County Fire Protection District No. - Odessa Merged  02/18/2005
Admirals Cove Water District (1992),NA,Water,active,Island,Island,NA,NA,"located on Whidbey Island, five miles southeast of Coupeville"
Adna School District No. 226,226,School,active,Lewis,Lewis,NA,NA,NA
Aeneas Lake Irrigation District,NA,Irrigation,active,Okanogan,Okanogan,NA,NA,NA
Agnew Irrigation District,NA,Irrigation,active,Clallam,Clallam,NA,NA,NA
Ahtanum Irrigation District,NA,Irrigation,active,Yakima,Yakima,NA,NA,NA
Alderwood Water and Wastewater District,NA,Water,active,Snohomish,Snohomish,"Bothell, Brier, Edmonds, Everett, Lynnwood, Mill Creek, Mountlake Terrace, Mukilteo",NA,NA
Alger Water District (1996),NA,Water,dissolved,Skagit,Skagit,NA,NA,Formed 02/06/1996 and dissolved as of 2001; system turned over to Skagit County PUD
Almira School District No. 17,17,School,active,Lincoln,Lincoln,Almira,NA,NA
Alpine Water District (1999),NA,Water,active,Chelan,Chelan,NA,NA,Formed in November 1999 (election) to take over water operations previously provided by Chelan County Public Utility District No. 1
Alta Vista Irrigation District,NA,Irrigation,active,Okanogan,Okanogan,NA,NA,NA
Anacortes Housing Authority,NA,Housing Authority,active,Skagit,Skagit,NA,NA,NA
Anacortes School District No. 103,103,School,active,Skagit,Skagit,Anacortes,NA,NA
Anderson Island Park and Recreation District,NA,Parks,active,Pierce,Pierce,NA,NA,NA
Annapolis Water District No. 1 (1951),1,Water,consolidated,Kitsap,Kitsap,NA,NA,Consolidated with Karcher Creek Sewer District 5 to form West Sound Utility District November 2007 election
Arlington Library Capital Facility Area (ALCFA) (05/2008),NA,Library,active,Snohomish,Snohomish,Arlington,NA,NA
Arlington School District No. 16,16,School,active,Snohomish,Snohomish,Part Arlington,NA,NA
Artesia Irrigation District No. 8 also Called Artesia Water District No. 8,8,Water,active,Walla Walla,Walla Walla,NA,NA,NA
Ashford Water District (1978),NA,Water,active,Pierce,Pierce,NA,NA,NA
Asotin-Anatone School District No. 420,420,School,active,Asotin,Asotin,Asotin,NA,NA
Asotin County Cemetery District (2009),NA,Cemetery,active,Asotin,Asotin,"Clarkston, Asotin",Vineland Cemetery,NA
Asotin County Conservation District,NA,Conservation,active,Asotin,Asotin,NA,NA,NA
Asotin County Fire Protection District No. 1,1,Fire Protection,active,Asotin,Asotin,NA,Clarkston,NA
Asotin County Health District,NA,Health,active,Asotin,Asotin,NA,NA,NA
Asotin County Library District,NA,Library,active,Asotin,Asotin,Asotin and Clarkston,NA,NA
Asotin County Public Transportation Benefit Area,NA,Transportation,active,Asotin,Asotin,Asotin and Clarkston,NA,NA
Auburn School District No. 408,408,School,active,King,King,"Part Algona, part Auburn, part Black Diamond, part Kent, part Pacific",NA,NA
Auburn Transportation Benefit District (2011),NA,Transportation,active,King,King,Auburn,NA,NA
Badger Mountain Irrigation District,NA,Irrigation,active,Benton,Benton,NA,NA,Central Benton County
Bainbridge Island Fire Department (FPD #2),NA,Fire Protection,active,Kitsap,Kitsap,Bainbridge Island,NA,NA
Bainbridge Island Metropolitan Park and Recreation District (09/2004),NA,Parks,active,Kitsap,Kitsap,Bainbridge Island,NA,NA
Bainbridge Island School District No. 303,303,School,active,Kitsap,Kitsap,Bainbridge Island,NA,NA
Basin City Water and Sewer District,NA,Water/Sewer,active,Franklin,Franklin,NA,NA,Part in Pasco
Battle Ground School District No. 119,119,School,active,Clark,Clark,"Battle Ground, Yacolt",NA,NA
Bayview Beach Water District (1964),NA,Water,active,Island,Island,NA,NA,Located on southern part of Whidbey Island
Beacon Hill Sewer District (1959),NA,Sewer,active,Cowlitz,Cowlitz,NA,NA,"Columbia Heights area, Beacon Hill area and Lexington area"
Beehive Irrigation District,NA,Irrigation,active,Chelan,Chelan,NA,NA,NA
Belfair Water District No. 1 (1966),1,Water,active,Mason,Mason,NA,NA,NA
Bellevue School District No. 405,405,School,active,King,King,"Beaux Arts, part Bellevue, Clyde Hill, Hunts Point, part Kirkland, Medina, part Newcastle, part Redmond, Yarrow Point",NA,NA
Bellingham-Whatcom Public Facilities District,NA,Public Facilities,active,Whatcom,Whatcom,Bellingham,NA,NA
Bellingham Housing Authority,NA,Housing Authority,active,Whatcom,Whatcom,NA,NA,NA
Bellingham School District No. 501,501,School,active,Whatcom,Whatcom,"Part Bellingham, part Ferndale",NA,NA
Bellingham Transportation Benefit District (2010),NA,Transportation,active,Whatcom,Whatcom,Bellingham,NA,NA
Ben Franklin Transit (PTBA ),NA,Transportation,active,Franklin,"Franklin, Benton","Benton City, Kennewick, Richland, West Richland",NA,NA
Ben Franklin Transit (PTBA),NA,Transportation,active,Benton,"Benton, Franklin","Benton City, Kennewick, Richland, West Richland",NA,Benton County Transit Authority PTBA
Benge School District No. 122,122,School,active,Adams,Adams,NA,NA,NA
Benton-Franklin Health District,NA,Health,active,Benton,Benton,NA,NA,NA
Benton City Library Capital Facilities Area,NA,Library,active,Benton,Benton,Benton City,NA,Benton City Library Facilities Area
Benton Clean Air Authority,NA,Clear Air,active,Benton,Benton,NA,NA,NA
Benton Conservation District,NA,Conservation,active,Benton,Benton,NA,NA,NA
Benton County Diking District No. 1,1,Dikes,active,Benton,Benton,NA,NA,NA
Benton County Drainage District No. 11,11,Drainage,dissolved,Benton,Benton,NA,NA,"Dissolved by Ordinance No. 447 passed June 4, 2007"
Benton County Drainage District No. 11a,11,Drainage,dissolved,Benton,Benton,NA,NA,"Dissolved by Ordinance No. 447 passed June 4, 2007"
Benton County Drainage District No. 12,12,Drainage,dissolved,Benton,Benton,NA,NA,"Dissolved by Ordinance No. 444, passed April 23, 2007"
Benton County Drainage District No. 4a,4,Drainage,dissolved,Benton,Benton,NA,NA,"Dissolved by Ordinance No. 441, passed November 6, 2007"
Benton County Drainage District No. 6,6,Drainage,disposition unknown,Benton,Benton,NA,NA,NA
Benton County Drainage District No. 9,9,Drainage,active,Benton,Benton,NA,NA,NA
Benton County Drainage District No. 9A,9,Drainage,disposition unknown,Benton,Benton,NA,NA,NA
Benton County Drainage Improvement District No. 10,10,Drainage,active,Benton,Benton,NA,NA,NA
Benton County Fire Protection District No. 1 (1946),1,Fire Protection,active,Benton,Benton,NA,NA,Formed 09/23/1946
Benton County Fire Protection District No. 2,2,Fire Protection,active,Benton,Benton,Benton City,Benton City,NA
Benton County Fire Protection District No. 3,3,Fire Protection,active,Benton,Benton,NA,Prosser Fire Department,NA
Benton County Fire Protection District No. 4 (1954),4,Fire Protection,active,Benton,Benton,West Richland,NA,NA
Benton County Fire Protection District No. 5,5,Fire Protection,active,Benton,Benton,NA,NA,NA
Benton County Fire Protection District No. 6,6,Fire Protection,active,Benton,Benton,NA,Plymouth/Patterson,NA
Benton County Mosquito Control District,NA,Mosquito Control,active,Benton,"Benton, Yakima","Kennewick, Richland, West Richland, Benton City, Prosser, Grandview, Mabton",NA,285 sq. mi. of watershed of the Columbia and Yakima rivers and 60 sq. miles in Eastern Yakima county
Benton County Park and Recreation District,NA,Parks,disposition unknown,Benton,Benton,NA,NA,Listed as countywide DOR tax code area
Benton County Public Facilities District,NA,Public Facilities,active,Benton,Benton,Kennewick and Richland,NA,NA
Benton County Weed District,NA,Weed Control,active,Benton,Benton,NA,NA,NA
Benton County Well Water District,NA,Water,active,Benton,Benton,NA,NA,Approximately 12 miles east of Prosser
Benton Irrigation District,NA,Irrigation,active,Benton,Benton,NA,NA,NA
Bertrand Watershed Improvement District (Irrigation District) (2003),NA,Water,active,Whatcom,Whatcom,NA,NA,Whatcom County Resolution No. 2003-064  - Called for election to form Bertrand Watershed Improvement District as an irrigation district
Bethel School District No. 403,403,School,active,Pierce,Pierce,Roy,NA,NA
Beverly Water District,NA,Water,active,Grant,Grant,NA,NA,NA
Bickleton School District No. 203,203,School,active,Klickitat,Klickitat,NA,NA,NA
Birch Bay Water and Sewer District,NA,Water/Sewer,active,Whatcom,Whatcom,NA,NA,NA
Black Diamond Water District,NA,Water,active,Clallam,Clallam,NA,NA,Provides water services in an unincorporated area of Clallam County near the City of Port Angeles
Black Sands Irrigation District,NA,Irrigation,active,Grant,Grant,NA,NA,NA
Blaine School District No. 503,503,School,active,Whatcom,Whatcom,Blaine,NA,NA
Blake Drainage District,NA,Drainage,dissolved,Thurston,Thurston,NA,NA,"Dissolved by Thurston County Ordinance No. 11701, May 11, 1998"
Blalock Irrigation District No. 3,3,Irrigation,active,Walla Walla,Walla Walla,NA,NA,NA
Blalock Orchard Irrigation District No. 12,12,Irrigation,active,Walla Walla,Walla Walla,NA,NA,NA
Blue Mountain Fire District  (2009),NA,Fire Protection,active,Asotin,Asotin,NA,NA,NA
Boistfort School District No. 234,234,School,active,Lewis,Lewis,NA,NA,NA
Bolles-Prescott Flood Control District,NA,Flood Control,active,Walla Walla,Walla Walla,Prescott (part),NA,In December 2010 the county commissioners considered a resolution to suspend operations
Borleske Park District (1996),NA,Parks,dissolved,Walla Walla,Walla Walla,NA,NA,"Created 07/1996, Dissolved 2008"
Bremerton School District No. 100-C,100,School,active,Kitsap,Kitsap,Part Bremerton,NA,NA
Bremerton Transportation Benefit District (2009),NA,Transportation,active,Kitsap,Kitsap,Bremerton,NA,NA
Brewster Flat Irrigation District,NA,Irrigation,active,Okanogan,Okanogan,NA,NA,NA
Brewster Park and Recreation District,NA,Parks,dissolved,Okanogan,Okanogan,NA,NA,"City of Brewster started managing functions in 1995, district dissolved in 1998"
Brewster School District No. 111,111,School,active,Okanogan,Okanogan,Brewster,NA,NA
Bridgeport Bar Irrigation District,NA,Irrigation,active,Douglas,Douglas,NA,NA,NA
Bridgeport Irrigation District,NA,Irrigation,active,Douglas,Douglas,NA,NA,NA
Bridgeport School District No. 75,75,School,active,Douglas,Douglas,Bridgeport,NA,NA
Brinnon School District No. 46,46,School,active,Jefferson,Jefferson,NA,NA,NA
Buena Irrigation District,NA,Irrigation,active,Yakima,Yakima,NA,NA,NA
Bullerville Utility District,4,Public Utility,active,Skagit,Skagit,NA,Skagit County Sewer District No. 4,NA
Burbank Irrigation District No. 4,4,Irrigation,active,Walla Walla,Walla Walla,NA,NA,NA
Burbank Water District No. 4 ,4,Water,disposition unknown,Walla Walla,Walla Walla,NA,NA,NA
Burien Transportation Benefit District (2009),NA,Transportation,active,King,King,Burien,NA,NA
Burlington-Edison School District No. 100,100,School,active,Skagit,Skagit,Burlington,NA,NA
Burnett Water District,NA,Water,active,Pierce,Pierce,NA,NA,NA
Butler Drainage District,NA,Drainage,active,Whatcom,Whatcom,NA,NA,NA
Camano Island Mosquito Control District,NA,Mosquito Control,active,Island,Island,NA,NA,NA
Camano Vista Water District (1988),NA,Water,active,Island,Island,NA,NA,Located on the southern end of Camano Island
Camas School District No. 117,117,School,active,Clark,Clark,"Camas, Washougal, Vancouver",NA,NA
Cape Flattery School District No. 401,401,School,active,Clallam,Clallam,NA,NA,NA
Cape San Juan Water District (1982),NA,Water,active,San Juan,San Juan,NA,NA,NA
Capital Area Regional Public Facilities District,NA,Public Facilities,active,Thurston,Thurston,"Olympia, Lacey",NA,NA
Carbonado School District No. 19,19,School,active,Pierce,Pierce,Carbonado,NA,NA
Carnhope Irrigation District No. 7,7,Irrigation,active,Spokane,Spokane,NA,NA,NA
Cascade Irrigation District,NA,Irrigation,active,Kittitas,Kittitas,NA,NA,NA
Cascade School District No. 228,228,School,active,Chelan,Chelan,Leavenworth,NA,NA
Cascade Valley Water District,NA,Water,active,Grant,Grant,NA,NA,Established in the 1950s to provide water to customers in the Cascade Valley
Cascadia Conservation District,NA,Conservation,active,Chelan,Chelan,NA,NA,NA
Cashmere School District No. 222,222,School,active,Chelan,Chelan,Cashmere,NA,NA
Castle Rock School District No. 401,401,School,active,Cowlitz,Cowlitz,"Castle Rock, Vader",NA,NA
Castle Rock Transportation Benefit District (2012),NA,Transportation,active,Cowlitz,Cowlitz,Castle Rock,NA,NA
Cattle Point Water District,NA,Water,active,San Juan,San Juan,NA,NA,NA
Cedar River Water and Sewer District ,NA,Water/Sewer,active,King,King,NA,King County Water and Sewer District No.  108,"Service area includes Renton, Maple Valley. Located in Fairwood area along the Cedar River, between the cities of Renton and Maple Valley"
Cedarbrook Flood Control Zone District,NA,Flood Control,dissolved,Cowlitz,Cowlitz,NA,NA,Abolished 2002 (Cowlitz County Res. No. 02-098)
Centerville School District No. 215,215,School,active,Klickitat,Klickitat,NA,NA,NA
Central Kitsap Fire and Rescue,1,Fire Protection,active,Kitsap,Kitsap,NA,Kitsap County Fire District No. 1,"In 1977, District No. 11 merged into District No. 15 and a new facility was built with Trident impact funds in the Meadowdale area. In 1989, District No. 9 merged with District No. 15. In 1999, Fire District No. 15 merged with District No. 1 and became Central Kitsap Fire and Rescue (CKFR). On January 1, 2003 Kitsap County Fire District No. 12 officially merged with CKFR."
Central Kitsap School District No. 401,401,School,active,Kitsap,Kitsap,Bremerton,NA,NA
Central Klickitat Conservation District,NA,Conservation,active,Klickitat,Klickitat,NA,NA,NA
Central Klickitat County Park and Recreation District,1,Parks,active,Klickitat,Klickitat,Goldendale,Klickitat County Park and Recreation District No. 1,Goldendale Swimming Pool
Central Puget Sound Regional Transit Authority,NA,Transportation,active,King,"King, Pierce, Snohomish","Brier, Edmonds, Everett, Lynnwood, Mill Creek, Mountlake Terrace, Mukilteo, Woodway, Sammamish, Seattle, Shoreline and Lake Forest Park, Algona, Auburn, Burien, Des Moines, Federal Way, Kent, Normandy Park, Pacific, SeaTac and Tukwila,  Beaux Arts, Bellevue, Bothell, Clyde Hill, Hunts Point, Issaquah, Kirkland, Medina, Mercer Island, Newcastle, Redmond, Renton, Woodinville, and Yarrow Point,  Bonney Lake, DuPont, Edgewood, Fife, Fircrest, Lakewood, Milton, Orting, Puyallup, Ruston, Steilacoom, Sumner, Tacoma, and University Place",Sound Transit,NA
Central Valley School District No. 356,356,School,active,Spokane,Spokane,"Liberty Lake, Spokane Valley",NA,NA
Centralia School District No. 401,401,School,active,Lewis,Lewis,"Centralia, part Chehalis",NA,NA
Chattaroy Springs West Water District No. 11,11,Water,active,Spokane,Spokane,NA,NA,NA
Chehalis School District No. 302,302,School,active,Lewis,Lewis,"Part Chehalis, part Napavine",NA,NA
Chelan-Douglas Health District,NA,Health,active,Chelan,Chelan,NA,NA,NA
Chelan-Douglas Public Transportation Benefit Area,NA,Transportation,active,Chelan,Chelan-Douglas,"Cashmere, Chelan, Entiat, Leavenworth, Wenatchee,  East Wenatchee,  Rock Island, Waterville",Link Transit,NA
Chelan County Cemetery District No. 1,1,Cemetery,active,Chelan,Chelan,Entiat,NA,NA
Chelan County Cemetery District No. 2,2,Cemetery,active,Chelan,Chelan,NA,NA,NA
